real_dist,checked_dist,sample_size,chi_square,kolmogorov_smirnov,anderson_darling,metric,sensitivity_anderson_darling,sensitivity_chi_square,sensitivity_kolmogorov_smirnov
exponential,exponential,10,0.0,0.0,0.1,type_1_error,,,
exponential,exponential,50,0.1,0.0,0.1,type_1_error,,,
exponential,exponential,150,0.0,0.0,0.0,type_1_error,,,
exponential,exponential,500,0.1,0.2,0.2,type_1_error,,,
exponential,exponential,1000,0.0,0.1,0.0,type_1_error,,,
exponential,exponential,5000,0.0,0.0,0.0,type_1_error,,,
exponential,exponential_with_noise,10,0.2,0.1,0.2,power,500.0,150.0,5000.0
exponential,exponential_with_noise,50,0.7,0.1,0.2,power,500.0,150.0,5000.0
exponential,exponential_with_noise,150,0.9,0.0,0.6,power,500.0,150.0,5000.0
exponential,exponential_with_noise,500,1.0,0.3,1.0,power,500.0,150.0,5000.0
exponential,exponential_with_noise,1000,1.0,0.1,1.0,power,500.0,150.0,5000.0
exponential,exponential_with_noise,5000,1.0,1.0,1.0,power,500.0,150.0,5000.0
exponential,weibull,10,0.0,0.0,0.0,power,150.0,150.0,500.0
exponential,weibull,50,0.1,0.1,0.2,power,150.0,150.0,500.0
exponential,weibull,150,0.9,0.7,0.8,power,150.0,150.0,500.0
exponential,weibull,500,1.0,1.0,1.0,power,150.0,150.0,500.0
exponential,weibull,1000,1.0,1.0,1.0,power,150.0,150.0,500.0
exponential,weibull,5000,1.0,1.0,1.0,power,150.0,150.0,500.0
normal,lognormal,10,1.0,1.0,1.0,power,10.0,10.0,10.0
normal,lognormal,50,1.0,1.0,1.0,power,10.0,10.0,10.0
normal,lognormal,150,1.0,1.0,1.0,power,10.0,10.0,10.0
normal,lognormal,500,1.0,1.0,1.0,power,10.0,10.0,10.0
normal,lognormal,1000,1.0,1.0,1.0,power,10.0,10.0,10.0
normal,lognormal,5000,1.0,1.0,1.0,power,10.0,10.0,10.0
normal,normal,10,0.1,0.1,0.1,type_1_error,,,
normal,normal,50,0.0,0.1,0.1,type_1_error,,,
normal,normal,150,0.0,0.1,0.1,type_1_error,,,
normal,normal,500,0.1,0.1,0.1,type_1_error,,,
normal,normal,1000,0.0,0.1,0.1,type_1_error,,,
normal,normal,5000,0.0,0.0,0.0,type_1_error,,,
normal,normal_with_noise,10,0.1,0.1,0.1,power,,,
normal,normal_with_noise,50,0.0,0.0,0.0,power,,,
normal,normal_with_noise,150,0.1,0.0,0.0,power,,,
normal,normal_with_noise,500,0.1,0.1,0.1,power,,,
normal,normal_with_noise,1000,0.2,0.1,0.1,power,,,
normal,normal_with_noise,5000,0.2,0.2,0.2,power,,,
normal,t_student,10,0.0,0.0,0.1,power,5000.0,,
normal,t_student,50,0.0,0.0,0.0,power,5000.0,,
normal,t_student,150,0.0,0.0,0.0,power,5000.0,,
normal,t_student,500,0.0,0.3,0.1,power,5000.0,,
normal,t_student,1000,0.1,0.0,0.2,power,5000.0,,
normal,t_student,5000,0.5,0.1,1.0,power,5000.0,,
uniform,beta,10,0.0,0.0,0.0,power,150.0,50.0,150.0
uniform,beta,50,0.8,0.4,0.6,power,150.0,50.0,150.0
uniform,beta,150,1.0,0.9,1.0,power,150.0,50.0,150.0
uniform,beta,500,1.0,1.0,1.0,power,150.0,50.0,150.0
uniform,beta,1000,1.0,1.0,1.0,power,150.0,50.0,150.0
uniform,beta,5000,1.0,1.0,1.0,power,150.0,50.0,150.0
uniform,uniform,10,0.0,0.0,0.0,type_1_error,,,
uniform,uniform,50,0.0,0.1,0.1,type_1_error,,,
uniform,uniform,150,0.0,0.0,0.0,type_1_error,,,
uniform,uniform,500,0.0,0.0,0.0,type_1_error,,,
uniform,uniform,1000,0.0,0.0,0.0,type_1_error,,,
uniform,uniform,5000,0.0,0.1,0.0,type_1_error,,,
uniform,uniform_with_noise,10,0.4,0.3,0.4,power,500.0,50.0,5000.0
uniform,uniform_with_noise,50,0.9,0.1,0.1,power,500.0,50.0,5000.0
uniform,uniform_with_noise,150,0.9,0.0,0.6,power,500.0,50.0,5000.0
uniform,uniform_with_noise,500,1.0,0.0,1.0,power,500.0,50.0,5000.0
uniform,uniform_with_noise,1000,1.0,0.0,1.0,power,500.0,50.0,5000.0
uniform,uniform_with_noise,5000,1.0,0.9,1.0,power,500.0,50.0,5000.0
